NUM_CHANNEL_KEY,CHV_CHANNEL,NUM_WEEK,NUM_MONTH,NUM_DATE_KEY,DT_DATE,CHV_DAY,CHV_START_TIME,CHV_END_TIME,GRP_CS_4,TVT_CS_4,REACH_CS_4,GRP_CS_4_14,TVT_CS_4_14,REACH_CS_4_14,GRP_CS_25_44_ABC_M,TVT_CS_25_44_ABC_M,REACH_CS_25_44_ABC_M,GRP_CS_25_44_AB_M,TVT_CS_25_44_AB_M,REACH_CS_25_44_AB_M,GRP_CS_25_AB_M,TVT_CS_25_AB_M,REACH_CS_25_AB_M,GRP_CS_15_44_ABC,TVT_CS_15_44_ABC,REACH_CS_15_44_ABC,GRP_CS_15_44_AB_F,TVT_CS_15_44_AB_F,REACH_CS_15_44_AB_F,GRP_CS_15_44_AB,TVT_CS_15_44_AB,REACH_CS_15_44_AB,GRP_CS_15_34_ABC_F,TVT_CS_15_34_ABC_F,REACH_CS_15_34_ABC_F,GRP_CS_15_24_ABC,TVT_CS_15_24_ABC,REACH_CS_15_24_ABC,GRP_CS_15_24,TVT_CS_15_24,REACH_CS_15_24,GRP_CS_15_M,TVT_CS_15_M,REACH_CS_15_M,GRP_CS_15_ABC_M,TVT_CS_15_ABC_M,REACH_CS_15_ABC_M,PrimeTime,GRP_CS_15_ABC_F,TVT_CS_15_ABC_F,REACH_CS_15_ABC_F,GRP_CS_15,TVT_CS_15,REACH_CS_15,GRP_CS_25_ABC_M,TVT_CS_25_ABC_M,REACH_CS_25_ABC_M,GRP_CS_DIGI_4_14,TVT_CS_DIGI_4_14,REACH_CS_DIGI_4_14,GRP_CS_DIGI_15_44_ABC,TVT_CS_DIGI_15_44_ABC,REACH_CS_DIGI_15_44_ABC,GRP_CS_ANALOG,TVT_CS_ANALOG,REACH_CS_ANALOG,GRP_CS_DIGITAL,TVT_CS_CS_DIGITAL,REACH_CS_CS_DIGITAL
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,1:00,1:29,2.2974,4922,6910,1.4235,714,936,3.6228,847,1204,3.7331,565,797,3.2212,865,1238,2.6149,1920,2705,2.7263,591,815,2.8755,1343,1901,2.3234,583,804,2.2038,629,839,2.2769,1080,1464,3.0091,2634,3699,2.8174,1584,2239,0,2.0147,972,1413,2.5646,4208,5974,3.1275,1265,1814,1.6814,599,778,2.9534,1590,2188,1.3588,858,1330,2.6891,4063,5579
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,1:30,1:59,1.3312,2852,3758,0.8772,440,638,2.2412,524,680,2.3257,352,470,1.903,511,682,1.4083,1034,1405,1.264,274,407,1.5202,710,986,1.1159,280,410,0.9495,271,367,1.1996,569,733,1.8176,1591,2039,1.599,899,1177,0,0.97,468,664,1.47,2412,3120,1.8617,753,984,1.1228,400,565,1.5417,830,1162,0.7475,472,641,1.5752,2380,3117
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,2:00,2:29,0.6035,1293,1897,0.3429,172,251,0.8255,193,298,0.8391,127,196,0.6889,185,275,0.6755,496,724,0.6089,132,168,0.7408,346,489,0.5261,132,166,0.6271,179,254,0.5755,273,388,0.8065,706,1056,0.7132,401,608,0,0.541,261,356,0.6832,1121,1646,0.7046,285,439,0.407,145,205,0.7449,401,569,0.5796,366,512,0.6129,926,1384
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,2:30,2:59,0.3585,768,1149,0.1754,88,130,0.2994,70,150,0.2973,45,80,0.3389,91,164,0.3337,245,384,0.4198,91,95,0.3918,183,253,0.3866,97,119,0.3188,91,128,0.3352,159,230,0.4615,404,694,0.3486,196,378,0,0.3441,166,207,0.4144,680,1019,0.3535,143,288,0.2161,77,115,0.3901,210,328,0.3341,211,288,0.3686,557,861
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,3:00,3:29,0.2488,533,787,0.0439,22,54,0.1711,40,66,0.1586,24,30,0.2495,67,88,0.192,141,217,0.2629,57,85,0.2184,102,151,0.2511,63,81,0.1752,50,71,0.3141,149,200,0.3644,319,445,0.2241,126,183,0,0.2259,109,166,0.3114,511,733,0.2596,105,147,0.0225,8,39,0.2359,127,199,0.2581,163,194,0.2449,370,593
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,3:30,3:59,0.1615,346,534,0.0538,27,30,0.2609,61,98,0.1916,29,40,0.2123,57,83,0.1757,129,176,0.226,49,56,0.167,78,96,0.2511,63,72,0.0946,27,28,0.1792,85,112,0.2365,207,354,0.1832,103,184,0,0.1845,89,102,0.1944,319,504,0.2547,103,184,0,0,0,0.2025,109,136,0.1552,98,153,0.1641,248,381
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,4:00,4:29,0.1498,321,456,0.0678,34,41,0.3293,77,112,0.185,28,46,0.2309,62,95,0.1662,122,183,0.1292,28,43,0.122,57,89,0.1793,45,72,0.0701,20,20,0.1286,61,61,0.2319,203,282,0.2383,134,187,0,0.1244,60,89,0.1749,287,414,0.3313,134,187,0.0028,1,6,0.1727,93,149,0.152,96,125,0.1489,225,330
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,4:30,4:59,0.1844,395,548,0.0758,38,44,0.3636,85,109,0.2313,35,51,0.3277,88,114,0.1702,125,182,0.0461,10,36,0.0963,45,87,0.1355,34,65,0.0105,3,20,0.116,55,86,0.2799,245,334,0.2597,146,194,0,0.1492,72,122,0.2182,358,504,0.361,146,194,0.014,5,9,0.2006,108,161,0.1964,124,165,0.18,272,383
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,5:00,5:29,0.2637,565,1003,0.0199,10,46,0.4021,94,143,0.0991,15,35,0.3649,98,187,0.2166,159,253,0.083,18,27,0.1178,55,85,0.1594,40,57,0.0806,23,35,0.1876,89,162,0.4101,359,611,0.3984,224,375,0,0.1907,92,144,0.3383,555,957,0.4969,201,340,0.0225,8,25,0.2508,135,199,0.3817,241,491,0.2151,325,512
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,5:30,5:59,0.4892,1048,1546,0.0857,43,71,0.3978,93,180,0.0661,10,24,0.5623,151,196,0.3405,250,394,0.143,31,45,0.122,57,104,0.4344,109,133,0.1507,43,76,0.2888,137,195,0.6763,592,893,0.5709,321,490,0,0.4,193,249,0.6125,1005,1476,0.7195,291,437,0.1179,42,65,0.3306,178,294,0.7633,482,673,0.3746,566,874
897,Any Channel Hin Music,1,1,20150103,00:00.0,Sat,6:00,6:29,0.8159,1748,2800,0.3429,172,234,0.7613,178,295,0.4823,73,132,0.9198,247,425,0.6279,461,714,0.4059,88,153,0.4411,206,340,0.5858,147,186,0.3994,114,151,0.4954,235,320,1.1001,963,1564,0.8911,501,827,0,0.6571,317,524,0.9605,1576,2565,1.078,436,733,0.4014,143,172,0.5257,283,401,1.2226,772,1210,0.646,976,1589
