dfbl_id_key,dt_batch_start,dt_batch_end,dt_probe_from,dt_probe_to,int_batch_status,chv_job_name
1,21:37.9,NULL,00:00.0,59:59.0,-1,JB_BMS_DAILY
2,29:30.7,NULL,00:00.0,59:59.0,-1,JB_BMS_DAILY
3,32:40.6,NULL,00:00.0,59:59.0,-1,JB_BMS_DAILY
4,40:23.2,NULL,00:00.0,59:59.0,-1,JB_BMS_DAILY
10,37:00.3,NULL,37:10.6,59:59.0,-1,JB_BMS_DAILY
12,56:51.0,16:36.2,00:00.0,59:59.0,0,JB_TAM_WEEKLY
13,43:19.7,08:10.1,00:00.0,59:59.0,0,JB_TAM_WEEKLY
14,39:13.3,54:13.7,00:00.0,59:59.0,0,JB_BMS_DAILY
19,23:39.0,NULL,01:28.7,59:59.0,-1,JB_TAM_WEEKLY
20,26:02.0,NULL,01:28.7,59:59.0,-1,JB_TAM_WEEKLY
21,32:52.8,NULL,01:28.7,59:59.0,-1,JB_TAM_WEEKLY
22,58:45.1,NULL,01:28.7,59:59.0,-1,JB_TAM_WEEKLY
23,35:12.4,NULL,01:28.7,59:59.0,-1,JB_TAM_WEEKLY
24,36:41.2,NULL,01:28.7,59:59.0,-1,JB_TAM_WEEKLY
27,31:50.5,05:16.8,00:00.0,31:50.5,0,JB_TAM_WEEKLY
29,29:05.9,NULL,31:51.5,29:05.9,-1,JB_TAM_WEEKLY
30,30:35.4,12:45.9,31:51.5,30:35.4,0,JB_TAM_WEEKLY
33,23:40.9,42:02.2,30:36.4,59:59.0,0,JB_TAM_WEEKLY
35,10:45.4,33:01.8,31:37.9,10:45.4,0,JB_TAM_WEEKLY
37,19:39.3,36:19.2,57:15.7,59:59.0,0,JB_BMS_DAILY
38,24:51.3,NULL,00:00.0,59:59.0,-1,JB_MONTHLY_BUDGET_REVENUE
42,17:12.6,17:15.3,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_GRP
43,17:29.1,17:31.7,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
44,23:35.0,23:37.8,00:00.0,23:35.0,0,JB_MONTHLY_BUDGET_REVENUE
45,13:55.8,31:45.9,00:00.0,59:59.0,0,JB_BMS_DAILY
46,46:55.4,18:41.5,00:00.0,46:55.4,0,JB_BMS_DAILY
47,22:56.2,44:32.3,46:56.4,59:59.0,0,JB_BMS_DAILY
50,59:08.4,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
51,09:10.5,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
52,15:53.7,43:45.6,00:00.0,59:59.0,0,JB_TAM_WEEKLY
53,45:16.3,07:21.0,00:00.0,45:16.3,0,JB_TAM_WEEKLY
54,19:54.7,46:00.9,45:17.3,19:54.7,0,JB_TAM_WEEKLY
55,00:18.9,30:20.5,19:55.7,00:18.9,0,JB_TAM_WEEKLY
56,34:34.9,52:46.6,00:19.9,59:59.0,0,JB_TAM_WEEKLY
57,07:27.1,NULL,00:00.0,07:27.1,-1,JB_TAM_WEEKLY
59,58:44.7,21:02.7,42:34.5,58:44.7,0,JB_TAM_WEEKLY
60,25:47.0,NULL,58:45.7,25:47.0,-1,JB_TAM_WEEKLY
62,09:06.0,31:28.8,58:45.7,09:06.0,0,JB_TAM_WEEKLY
65,14:41.1,48:27.1,18:20.0,14:41.1,0,JB_TAM_WEEKLY
69,19:05.9,19:08.6,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
70,20:07.5,20:10.2,00:00.0,20:07.5,0,JB_MONTHLY_BUDGET_REVENUE
71,56:52.2,56:55.0,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_GRP
73,10:08.0,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
74,42:55.8,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
75,15:43.4,07:48.4,00:00.0,59:59.0,0,JB_TAM_WEEKLY
77,50:18.9,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
78,20:24.4,NULL,00:00.0,59:59.0,-1,JB_TAM_WEEKLY
79,37:59.9,04:26.8,00:00.0,59:59.0,0,JB_TAM_WEEKLY
81,39:39.6,05:17.0,10:32.0,39:39.6,0,JB_TAM_WEEKLY
82,51:06.5,26:57.8,39:40.6,59:59.0,0,JB_TAM_WEEKLY
83,40:53.6,08:26.5,00:00.0,40:53.6,0,JB_TAM_WEEKLY
86,34:33.3,NULL,10:53.9,34:33.3,-1,JB_TAM_WEEKLY
88,38:02.7,NULL,52:59.6,38:02.7,-1,JB_TAM_WEEKLY
89,58:37.7,22:28.8,52:59.6,58:37.7,0,JB_TAM_WEEKLY
92,23:51.3,45:12.0,59:42.9,23:51.3,0,JB_TAM_WEEKLY
93,47:56.8,NULL,23:52.3,47:56.8,-1,JB_TAM_WEEKLY
94,49:35.4,10:17.0,23:52.3,49:35.4,0,JB_TAM_WEEKLY
98,58:59.6,26:28.9,22:03.6,58:59.6,0,JB_TAM_WEEKLY
99,47:45.2,08:18.2,59:00.6,47:45.2,0,JB_TAM_WEEKLY
101,39:44.8,02:10.4,14:26.1,39:44.8,0,JB_TAM_WEEKLY
102,03:49.5,27:25.2,39:45.8,03:49.5,0,JB_TAM_WEEKLY
103,06:20.6,31:12.9,03:50.5,06:20.6,0,JB_TAM_WEEKLY
104,59:05.7,25:09.7,06:21.6,59:05.7,0,JB_TAM_WEEKLY
105,50:44.2,19:02.4,59:06.7,50:44.2,0,JB_TAM_WEEKLY
107,19:25.3,52:09.8,30:07.1,19:25.3,0,JB_TAM_WEEKLY
108,55:05.0,27:30.9,19:26.3,55:05.0,0,JB_TAM_WEEKLY
110,59:27.0,31:12.6,20:15.5,59:27.0,0,JB_TAM_WEEKLY
111,40:20.4,10:55.9,59:28.0,40:20.4,0,JB_TAM_WEEKLY
112,19:49.8,51:00.4,40:21.4,19:49.8,0,JB_TAM_WEEKLY
113,53:18.8,25:20.4,19:50.8,53:18.8,0,JB_TAM_WEEKLY
114,16:47.6,48:54.2,53:19.8,59:59.0,0,JB_TAM_WEEKLY
116,00:53.3,41:50.6,11:41.4,00:53.3,0,JB_TAM_WEEKLY
117,58:15.2,33:21.6,00:54.3,58:15.2,0,JB_TAM_WEEKLY
118,40:54.9,17:37.5,58:16.2,40:54.9,0,JB_TAM_WEEKLY
119,37:09.0,16:53.8,40:55.9,37:09.0,0,JB_TAM_WEEKLY
121,00:58.2,41:31.5,14:04.9,00:58.2,0,JB_TAM_WEEKLY
123,04:08.8,41:02.0,42:16.2,04:08.8,0,JB_TAM_WEEKLY
124,13:12.5,45:42.9,04:09.8,59:59.0,0,JB_TAM_WEEKLY
125,48:27.5,14:30.4,00:00.0,48:27.5,0,JB_TAM_WEEKLY
127,23:45.0,52:04.2,43:02.8,23:45.0,0,JB_TAM_WEEKLY
128,08:55.4,41:55.4,23:46.0,08:55.4,0,JB_TAM_WEEKLY
129,02:55.8,43:07.4,08:56.4,02:55.8,0,JB_TAM_WEEKLY
131,50:05.5,27:00.6,10:31.2,50:05.5,0,JB_TAM_WEEKLY
132,28:29.5,38:14.6,50:06.5,28:29.5,0,JB_TAM_WEEKLY
133,40:51.2,02:28.2,00:00.0,59:59.0,0,JB_BMS_DAILY
134,00:54.7,46:12.9,00:00.0,00:54.7,0,JB_BMS_DAILY
136,24:10.8,24:16.4,20:08.5,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
137,25:54.6,25:57.5,00:00.0,59:59.0,0,JB_MONTHLY_BUDGET_REVENUE
138,06:28.7,06:31.2,00:00.0,06:28.7,0,JB_MONTHLY_BUDGET_REVENUE
139,59:21.5,27:41.1,00:00.0,59:59.0,0,JB_TAM_WEEKLY
