FROMDATE,TODATE,DAYPART,CHANNEL,PIVOT_SEQ,PIVOT_HDR1,PIVOT_DATA1
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,1,DayPart 1:Z Zee TV,19318
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,2,DayPart 1:Star Plus,9817
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,3,DayPart 1:SONY ENTERTAINMENT TV,1909
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,4,DayPart 1:Colors Viacom18,6035
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,5,DayPart 2:Z Zee TV,12032
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,6,DayPart 2:Star Plus,8355
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,7,DayPart 2:SONY ENTERTAINMENT TV,1944
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,8,DayPart 2:Colors Viacom18,7061
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,9,DayPart 3:Z Zee TV,12073
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,10,DayPart 3:Star Plus,6393
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,11,DayPart 3:SONY ENTERTAINMENT TV,2681
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,12,DayPart 3:Colors Viacom18,6145
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,13,DayPart 4:Z Zee TV,12414
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,14,DayPart 4:Star Plus,5033
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,15,DayPart 4:SONY ENTERTAINMENT TV,3700
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,16,DayPart 4:Colors Viacom18,4917
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,17,DayPart 5:Z Zee TV,11751
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,18,DayPart 5:Star Plus,6260
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,19,DayPart 5:SONY ENTERTAINMENT TV,4376
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,20,DayPart 5:Colors Viacom18,4694
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,21,DayPart 6:Z Zee TV,10887
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,22,DayPart 6:Star Plus,5492
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,23,DayPart 6:SONY ENTERTAINMENT TV,3302
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,24,DayPart 6:Colors Viacom18,3752
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,25,DayPart 7:Z Zee TV,7447
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,26,DayPart 7:Star Plus,4809
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,27,DayPart 7:SONY ENTERTAINMENT TV,2780
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,28,DayPart 7:Colors Viacom18,3274
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,29,DayPart 8:Z Zee TV,6634
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,30,DayPart 8:Star Plus,4188
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,31,DayPart 8:SONY ENTERTAINMENT TV,2359
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,32,DayPart 8:Colors Viacom18,3302
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,33,DayPart 9:Z Zee TV,3741
9/7/2014,9/13/2014,DayPart 1,Z Zee TV,34,DayPart 9:Star Plus,4374
