NUM_MARKET_KEY,CHV_MARKET_NAME,NUM_START_DATE_KEY,NUM_END_DATE_KEY,NUM_WEEK,NUM_V_CS_4,TVR_NUM_V_CS_4,NUM_V_M_CS_4_14,TVR_NUM_V_M_CS_4_14,NUM_V_F_CS_4_14,TVR_NUM_V_F_CS_4_14,NUM_V_M_CS_15_24,TVR_NUM_V_M_CS_15_24,NUM_V_F_CS_15_24,TVR_NUM_V_F_CS_15_24,NUM_V_M_CS_25_34,TVR_NUM_V_M_CS_25_34,NUM_V_F_CS_25_34,TVR_NUM_V_F_CS_25_34,NUM_V_M_CS_35_44,TVR_NUM_V_M_CS_35_44,NUM_V_F_CS_35_44,TVR_NUM_V_F_CS_35_44,NUM_V_M_CS_45_54,TVR_NUM_V_M_CS_45_54,NUM_V_F_CS_45_54,TVR_NUM_V_F_CS_45_54,NUM_V_M_CS_55,TVR_NUM_V_M_CS_55,NUM_V_F_CS_55,TVR_NUM_V_F_CS_55,NUM_V_CS_ANALOG,TVR_NUM_V_CS_ANALOG,NUM_V_CS_DIGITAL,TVR_NUM_V_CS_DIGITAL,NUM_V_S_SEC_A,TVR_NUM_V_CS_SEC_A,NUM_V_S_SEC_B,TVR_NUM_V_CS_SEC_B,NUM_V_S_SEC_C,TVR_NUM_V_CS_SEC_C,NUM_V_S_SEC_DE,TVR_NUM_V_CS_SEC_DE
1, *Bangalore ,20141228,20150103,1,1113,5151.783992,102,4149.152542,101,4378.838709,130,5090.90909,128,5592.717815,103,4620.560747,117,5616,65,4588.235294,85,5611.001964,68,5572.682926,68,7051.851851,79,5600,67,5787.146529,0,0,1113,5151.783992,230,4931.716656,324,4928.202806,275,5252.98465,284,5538.247243
2, *Calcutta ,20141228,20150103,1,1585,4037.604245,142,4152.480417,133,3958.193091,138,3208.858131,155,4251.428571,127,3149.225092,133,4018.705035,99,3716.648044,131,4565.975103,84,3501.736972,109,5136.60589,181,4660.229885,152,4676.923076,0,0,1585,4037.604245,233,3581.335773,353,4027.436332,369,4503.596077,630,3989.44591
3, *Chennai ,20141228,20150103,1,1251,5426.491092,134,5628,87,3982.561307,125,5256.570713,130,5473.68421,107,4656.994818,126,5614.854111,70,5079.913606,76,5764.334085,61,4833.962264,83,6129.230769,134,6314.726507,117,6663.050847,684,5408.89621,567,5447.869602,248,4995.683453,309,5332.511556,320,5438.543247,373,5821.086855
4, *Delhi ,20141228,20150103,1,2296,4066.28716,335,4014.265335,280,3866.831072,281,3903.100454,242,4445.708037,214,3468.596237,202,4032.798573,122,3907.721639,152,4685.504587,130,4124.645892,101,4328.571428,133,4411.451135,104,4747.826086,0,0,2296,4066.28716,679,4000.420831,600,4134.536505,382,4100.702875,634,4047.577427
5, *Hyderabad ,20141228,20150103,1,1137,5301.582014,101,3250.574712,135,4421.052631,127,4810.822998,133,5390.591073,101,4932.558139,129,6508.108108,75,6072.289156,112,8198.69281,75,6720,57,7394.594594,47,5445.517241,45,5641.791044,176,4616.393442,961,5449.721518,186,5068.613138,233,5644.4124,318,5342.4,400,5199.226305
6, *Mumbai ,20141228,20150103,1,2445,4250.413907,281,4052.188841,263,4210.004764,299,4057.512116,255,4633.856138,243,3869.573459,236,4356.923076,160,4036.036036,164,4820.997375,150,4382.608695,140,4889.812889,123,3844.465116,131,4486.850152,100,3704.520396,2345,4277.524429,359,3929.120521,577,4201.820546,663,4451.798561,845,4275.903614
8, APRest 1 Mn.+ ,20141228,20150103,1,440,5457.364341,0,0,41,3848.044692,36,3952.941176,51,5693.023255,0,0,56,7100.377358,46,5745.724907,57,7282.129277,0,0,0,0,0,0,0,0,138,5089.791437,302,5643.604004,60,3832.699619,82,6333.793103,124,6449.535603,173,5274.773139
9, Assam .5Mn.+ ,20141228,20150103,1,110,3767.584097,0,0,0,0,14,3157.046979,0,0,0,0,0,0,0,0,7,3563.636363,0,0,0,0,0,0,0,0,59,3726.315789,52,3891.314031,24,3648.868778,38,3722.448979,20,3775.280898,28,3936.401673
10, Bihar 1Mn.+ ,20141228,20150103,1,213,3528.994082,22,2540.206185,28,4108.296943,27,3117.525773,0,0,0,0,27,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,3528.994082,54,3687.804878,63,3575.675675,33,3497.791798,63,3376.076555
11, Chattisgarh .1 to 1Mn. ,20141228,20150103,1,353,3588.744326,46,3247.058823,34,2998.425196,39,3466.666666,49,4168.101265,0,0,0,0,0,0,43,4473.065015,29,3517.68953,0,0,0,0,0,0,185,3381.936887,168,3847.85276,58,3569.230769,73,3156.756756,79,3759.773371,143,3762.568519
