RCLNT,RYEAR,DOCNR,RLDNR,RBUKRS,DOCLN,ACTIV,RMVCT,RTCUR,RUNIT,AWTYP,RRCTY,RVERS,LOGSYS,RACCT,COST_ELEM,RCNTR,PRCTR,RFAREA,RBUSA,KOKRS,SEGMENT,ZZZONE,SCNTR,PPRCTR,SFAREA,SBUSA,RASSC,PSEGMENT,TSL,HSL,KSL,OSL,MSL,WSL,DRCRK,POPER,RWCUR,GJAHR,BUDAT,BELNR,BUZEI,BSCHL,BSTAT,LINETYPE,XSPLITMOD,USNAM,KUNNR
300,2014,200000931,0L,2000,1,RFBU,,GBP,,BKPF,0,1,,225906,,,20001M01,,1000,1000,,,,,,,1000,,-15000,-24202.5,-1498500,0,0,-24202.5,H,9,USD,2014,00:00.0,200000931,1,17,,2000,X,10100858,1301545
300,2014,200000931,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225906,,,20001M01,,1000,1000,,,,,,,1000,,195202.5,195202.5,12463679.63,0,0,195202.5,S,9,USD,2014,00:00.0,200000931,2,7,,2000,X,10100858,1301545
300,2014,200000931,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225906,,,20017M01,,1000,1000,,,,,,,1000,,-171000,-171000,-10336950,0,0,-171000,H,9,USD,2014,00:00.0,200000931,2,17,,2000,X,10100858,1301545
300,2014,200000932,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20011M01,,1000,1000,,,,,,,,,-242247.88,-242247.88,-14728671.1,0,0,-242247.88,H,9,USD,2014,00:00.0,200000932,3,17,,2000,X,20100028,1700089
300,2014,200000932,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20011M02,,1000,1000,,,,,,,,,-48017.57,-48017.57,-2965084.95,0,0,-48017.57,H,9,USD,2014,00:00.0,200000932,3,17,,2000,X,20100028,1700089
300,2014,200000933,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-1969.25,-1969.25,-125736.61,0,0,-1969.25,H,9,USD,2014,00:00.0,200000933,1,17,,2000,X,20100028,1700092
300,2014,200000933,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-12190.75,-12190.75,-738478.14,0,0,-12190.75,H,9,USD,2014,00:00.0,200000933,3,17,,2000,X,20100028,1700092
300,2014,200000933,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,2997,2997,185064.75,0,0,2997,S,9,USD,2014,00:00.0,200000933,4,7,,2000,X,20100028,1700092
300,2014,200000934,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-1511.54,-1511.54,-96511.83,0,0,-1511.54,H,9,USD,2014,00:00.0,200000934,1,17,,2000,X,20100028,1700093
300,2014,200000934,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,1511.54,1511.54,91453.69,0,0,1511.54,S,9,USD,2014,00:00.0,200000934,2,7,,2000,X,20100028,1700093
