NUM_CHANNEL_KEY,Locationcode,ChannelCode,BookingNumber,BookingDetailCode,DealNumber,DealRowNumber,NUM_CLIENT_KEY,NUM_BRAND_KEY,NUM_DATE_KEY,starttime,NUM_DURATION_SEC,NUM_PROGRAM_KEY,NUM_PA,NUM_TA,NUM_V000S,NUM_TVR,ClientCode,BrandCode,Currency,spotamount,TapeDuration,Netcode,valuationrate,rate
388,ZAZEE00001,ZAPIC00001,14121016N,412,550/2014,7,589,26993,20141221,0:09:30,10,30433,1,5,331,0.1564,ZAHEN00491,ZACOL01407,INR,2635,10,5,2635,2635
388,ZAZEE00001,ZAPIC00001,14122455W,5,376/2014,6,242,45335,20141221,0:09:40,20,30433,2,5,331,0.1564,1415754,DATXX00002,INR,3800,20,6,1899.75,1899.75
388,ZAZEE00001,ZAPIC00001,14121008N,22,52/2014,15,108,178,20141221,0:10:00,30,30433,3,5,166,0.0784,ZACOC00083,ZASPR00008,INR,7650,30,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14124011M,39,585/2014,4,9726,58278,20141221,0:10:30,45,30433,4,5,166,0.0784,1426303,INDXX00036,INR,13387.5,45,6,2975,2975
388,ZAZEE00001,ZAPIC00001,14122046W,138,571/2014,12,13,6467,20141221,0:11:15,15,30433,5,5,147,0.0695,ZAHIN00614,ZAPEP01409,INR,1989,15,6,1326,1326
388,ZAZEE00001,ZAPIC00001,14122437W,5,575/2014,6,295,365,20141221,0:22:24,15,30433,3,22,181,0.0855,ZAPGH00301,ZAPAN00624,INR,3698,15,6,2465,2465
388,ZAZEE00001,ZAPIC00001,14121001N,44,277/2014,4,49,3816,20141221,0:22:39,30,30433,4,22,181,0.0855,ZAPER00328,ZABLE00006,INR,0,30,6,2779.5,0
388,ZAZEE00001,ZAPIC00001,14121016N,414,550/2014,7,589,26993,20141221,0:23:09,10,30433,5,22,106,0.0501,ZAHEN00491,ZACOL01407,INR,2635,10,5,2635,2635
388,ZAZEE00001,ZAPIC00001,14124004M,14,316/2014,1,3,539,20141221,0:23:19,15,30433,6,22,106,0.0501,ZAITC00202,ZAACT00002,INR,3825,15,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14122502W,58,555/2014,9,651,15931,20141221,0:23:34,10,30433,7,22,106,0.0501,ZAPEO00001,ZASHA01530,INR,2890,10,6,2890,2890
388,ZAZEE00001,ZAPIC00001,14124008M,16,316/2014,1,3,50412,20141221,0:23:44,10,30433,8,22,106,0.0501,ZAITC00202,ZASUN01436,INR,2550,10,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14124007M,6,548/2014,1,424,6897,20141221,0:23:54,20,30433,9,22,106,0.0501,ZAVEN00462,ZAVEN01296,INR,5525,20,6,2762.5,2762.5
388,ZAZEE00001,ZAPIC00001,14122132W,333,580/2014,14,225,531,20141221,0:24:14,10,30433,10,22,124,0.0586,1415110,ZAFOG00003,INR,2805,10,6,2805,2805
388,ZAZEE00001,ZAPIC00001,14121026N,79,52/2014,15,108,871,20141221,0:24:24,15,30433,11,22,124,0.0586,ZACOC00083,ZACOC00170,INR,3825,15,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14122090W,148,575/2014,6,79,533,20141221,0:24:39,15,30433,12,22,124,0.0586,ZAPGH00301,ZATID00869,INR,3698,15,6,2465,2465
388,ZAZEE00001,ZAPIC00001,14122038W,17,571/2014,12,249,960,20141221,0:24:54,20,30433,13,22,124,0.0586,ZAHIN00614,ZAKIS00430,INR,2652,20,6,1326,1326
388,ZAZEE00001,ZAPIC00001,14122044W,5,571/2014,12,13,165,20141221,0:25:14,10,30433,14,22,114,0.0539,ZAHIN00614,ZALIF00500,INR,1326,10,6,1326,1326
388,ZAZEE00001,ZAPIC00001,14124011M,40,585/2014,4,9726,58278,20141221,0:25:24,20,30433,15,22,114,0.0539,1426303,INDXX00036,INR,5950,20,6,2975,2975
388,ZAZEE00001,ZAPIC00001,14122128W,29,323/2014,4,129,46330,20141221,0:25:44,20,30433,16,22,114,0.0539,ZAIND00189,ZALOR00516,INR,5100,20,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14121009N,22,52/2014,15,108,56205,20141221,0:26:04,20,30433,17,22,82,0.0387,ZACOC00083,KINXX00006,INR,5100,20,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14122502W,57,555/2014,9,651,15931,20141221,0:26:24,10,30433,18,22,82,0.0387,ZAPEO00001,ZASHA01530,INR,2890,10,6,2890,2890
388,ZAZEE00001,ZAPIC00001,14121111N,41,598/2014,5,49,3528,20141221,0:26:34,30,30433,19,22,82,0.0387,ZAPER00328,ZAROY01149,INR,8338.5,30,6,2779.5,2779.5
388,ZAZEE00001,ZAPIC00001,14121016N,415,550/2014,7,589,26993,20141221,0:27:04,10,30433,20,22,102,0.0482,ZAHEN00491,ZACOL01407,INR,2635,10,5,2635,2635
388,ZAZEE00001,ZAPIC00001,14124008M,18,316/2014,1,3,50412,20141221,0:27:14,10,30433,21,22,102,0.0482,ZAITC00202,ZASUN01436,INR,2550,10,6,2550,2550
388,ZAZEE00001,ZAPIC00001,14122437W,4,575/2014,6,295,365,20141221,0:38:03,15,30433,2,15,68,0.0321,ZAPGH00301,ZAPAN00624,INR,3698,15,6,2465,2465
388,ZAZEE00001,ZAPIC00001,14121111N,43,598/2014,5,49,3528,20141221,0:38:18,30,30433,3,15,68,0.0321,ZAPER00328,ZAROY01149,INR,8338.5,30,6,2779.5,2779.5
388,ZAZEE00001,ZAPIC00001,14122439W,15,575/2014,6,79,533,20141221,0:38:48,15,30433,4,15,68,0.0321,ZAPGH00301,ZATID00869,INR,3698,15,6,2465,2465
388,ZAZEE00001,ZAPIC00001,14122418W,13,376/2014,6,242,6939,20141221,0:39:03,25,30433,5,15,70,0.0331,1415754,NISXX00008,INR,4749,25,6,1899.75,1899.75
388,ZAZEE00001,ZAPIC00001,14122431W,4,575/2014,6,126,551,20141221,0:39:28,15,30433,6,15,70,0.0331,ZAIND00194,ZAGIL00315,INR,3698,15,6,2465,2465
388,ZAZEE00001,ZAPIC00001,14124007M,5,548/2014,1,424,6897,20141221,0:39:43,20,30433,7,15,70,0.0331,ZAVEN00462,ZAVEN01296,INR,5525,20,6,2762.5,2762.5
388,ZAZEE00001,ZAPIC00001,14122214W,130,330/2014,8,27,286,20141221,0:40:03,10,30433,8,15,65,0.0307,ZAMAR00264,ZAHAI00329,INR,1998,10,6,1997.5,1997.5
388,ZAZEE00001,ZAPIC00001,14124011M,38,585/2014,4,9726,58278,20141221,0:40:13,45,30433,9,15,65,0.0307,1426303,INDXX00036,INR,13387.5,45,6,2975,2975
